scenario,seed,instance_path,feasible,heuristic_profit,benchmark_profit,gap,heuristic_runtime_s,benchmark_runtime_s,benchmark_status
S1_baseline,1,generated_instances_v2_hard/S1_baseline_01.txt,True,109040.0,111140.0,0.0188950872773079,0.0184478759765625,7.069884777069092,OPTIMAL
S1_baseline,2,generated_instances_v2_hard/S1_baseline_02.txt,True,99080.0,107840.0,0.0812314540059347,0.1142158508300781,6.960593938827515,OPTIMAL
S1_baseline,3,generated_instances_v2_hard/S1_baseline_03.txt,True,81320.0,86180.0,0.056393594801578,0.2392182350158691,7.589520931243896,OPTIMAL
S1_baseline,4,generated_instances_v2_hard/S1_baseline_04.txt,True,78660.0,104520.0,0.2474167623421354,0.3335659503936767,6.54027795791626,OPTIMAL
S1_baseline,5,generated_instances_v2_hard/S1_baseline_05.txt,True,99980.0,112520.0,0.1114468538926413,0.2340469360351562,7.023776054382324,OPTIMAL
S1_baseline,6,generated_instances_v2_hard/S1_baseline_06.txt,True,80400.0,105840.0,0.2403628117913832,0.3434951305389404,6.338502883911133,OPTIMAL
S1_baseline,7,generated_instances_v2_hard/S1_baseline_07.txt,True,38860.0,57580.0,0.3251128864188954,0.1373357772827148,7.459486246109009,OPTIMAL
S1_baseline,8,generated_instances_v2_hard/S1_baseline_08.txt,True,89020.0,98080.0,0.0923735725938009,0.116671085357666,6.523958921432495,OPTIMAL
S1_baseline,9,generated_instances_v2_hard/S1_baseline_09.txt,True,90320.0,93800.0,0.0371002132196162,0.2993690967559814,7.334149122238159,OPTIMAL
S1_baseline,10,generated_instances_v2_hard/S1_baseline_10.txt,True,117160.0,126940.0,0.0770442728848274,0.1294636726379394,6.40483832359314,OPTIMAL
S2_high_low_level_demand,1,generated_instances_v2_hard/S2_high_low_level_demand_01.txt,True,74540.0,74540.0,0.0,0.0075969696044921,8.468492031097412,OPTIMAL
S2_high_low_level_demand,2,generated_instances_v2_hard/S2_high_low_level_demand_02.txt,True,57940.0,59620.0,0.0281784636028178,0.0300879478454589,8.094311714172363,OPTIMAL
S2_high_low_level_demand,3,generated_instances_v2_hard/S2_high_low_level_demand_03.txt,True,58920.0,58920.0,0.0,0.0073978900909423,8.720468997955322,OPTIMAL
S2_high_low_level_demand,4,generated_instances_v2_hard/S2_high_low_level_demand_04.txt,True,46640.0,46640.0,0.0,0.0081689357757568,9.149634838104248,OPTIMAL
S2_high_low_level_demand,5,generated_instances_v2_hard/S2_high_low_level_demand_05.txt,True,54320.0,57260.0,0.0513447432762836,0.0239608287811279,8.55751895904541,OPTIMAL
S2_high_low_level_demand,6,generated_instances_v2_hard/S2_high_low_level_demand_06.txt,True,53300.0,53300.0,0.0,0.0077600479125976,8.988745927810669,OPTIMAL
S2_high_low_level_demand,7,generated_instances_v2_hard/S2_high_low_level_demand_07.txt,True,54920.0,57020.0,0.0368291827428972,0.064342975616455,8.188143014907837,OPTIMAL
S2_high_low_level_demand,8,generated_instances_v2_hard/S2_high_low_level_demand_08.txt,True,73120.0,80740.0,0.0943770126331434,0.0833969116210937,7.634784936904907,OPTIMAL
S2_high_low_level_demand,9,generated_instances_v2_hard/S2_high_low_level_demand_09.txt,True,66320.0,68420.0,0.0306927798889213,0.0373330116271972,8.261950969696045,OPTIMAL
S2_high_low_level_demand,10,generated_instances_v2_hard/S2_high_low_level_demand_10.txt,True,68520.0,68520.0,0.0,0.0087730884552001,8.443344831466675,OPTIMAL
S3_geographic_imbalance,1,generated_instances_v2_hard/S3_geographic_imbalance_01.txt,True,51800.0,85580.0,0.394718392147698,0.3402538299560547,6.1869261264801025,OPTIMAL
S3_geographic_imbalance,2,generated_instances_v2_hard/S3_geographic_imbalance_02.txt,True,41160.0,69000.0,0.4034782608695652,0.314608097076416,6.244966983795166,OPTIMAL
S3_geographic_imbalance,3,generated_instances_v2_hard/S3_geographic_imbalance_03.txt,True,58840.0,61960.0,0.0503550677856681,0.6047279834747314,7.293766975402832,OPTIMAL
S3_geographic_imbalance,4,generated_instances_v2_hard/S3_geographic_imbalance_04.txt,True,52040.0,60680.0,0.1423862887277521,0.10664963722229,7.099261283874512,OPTIMAL
