scenario,seed,instance_path,feasible,heuristic_profit,benchmark_profit,gap,heuristic_runtime_s,benchmark_runtime_s,benchmark_status
S1_baseline,1,generated_instances_big/S1_baseline_01.txt,True,316210.0,316210.0,0.0,0.015825986862182617,0.0007419586181640625,ACCEPT_ALL_UB
S1_baseline,2,generated_instances_big/S1_baseline_02.txt,True,246240.0,246240.0,0.0,0.05824995040893555,0.0007638931274414062,ACCEPT_ALL_UB
S1_baseline,3,generated_instances_big/S1_baseline_03.txt,True,350840.0,350840.0,0.0,0.015007972717285156,0.0007030963897705078,ACCEPT_ALL_UB
S1_baseline,4,generated_instances_big/S1_baseline_04.txt,True,260660.0,270380.0,0.03594940454175605,0.1354360580444336,0.0007748603820800781,ACCEPT_ALL_UB
S1_baseline,5,generated_instances_big/S1_baseline_05.txt,True,283410.0,283410.0,0.0,0.01411890983581543,0.0006940364837646484,ACCEPT_ALL_UB
S1_baseline,6,generated_instances_big/S1_baseline_06.txt,True,376700.0,376700.0,0.0,0.01442575454711914,0.0006902217864990234,ACCEPT_ALL_UB
S1_baseline,7,generated_instances_big/S1_baseline_07.txt,True,268710.0,339000.0,0.20734513274336283,0.625342845916748,0.0006961822509765625,ACCEPT_ALL_UB
S1_baseline,8,generated_instances_big/S1_baseline_08.txt,True,276270.0,291030.0,0.05071642098752706,0.6439471244812012,0.0007717609405517578,ACCEPT_ALL_UB
S1_baseline,9,generated_instances_big/S1_baseline_09.txt,True,286170.0,286170.0,0.0,0.01500701904296875,0.0007097721099853516,ACCEPT_ALL_UB
S1_baseline,10,generated_instances_big/S1_baseline_10.txt,True,355700.0,355700.0,0.0,0.01391911506652832,0.0008461475372314453,ACCEPT_ALL_UB
S2_high_low_level_demand,1,generated_instances_big/S2_high_low_level_demand_01.txt,True,237940.0,241360.0,0.014169705004971826,0.1430039405822754,0.0006968975067138672,ACCEPT_ALL_UB
S2_high_low_level_demand,2,generated_instances_big/S2_high_low_level_demand_02.txt,True,156520.0,156520.0,0.0,0.014384984970092773,0.0008761882781982422,ACCEPT_ALL_UB
S2_high_low_level_demand,3,generated_instances_big/S2_high_low_level_demand_03.txt,True,253490.0,253490.0,0.0,0.018863916397094727,0.0006887912750244141,ACCEPT_ALL_UB
S2_high_low_level_demand,4,generated_instances_big/S2_high_low_level_demand_04.txt,True,191260.0,191260.0,0.0,0.015279769897460938,0.0006921291351318359,ACCEPT_ALL_UB
